year,district,district_id,constituency_id,constituency_number,constituency,candidate,party,alliance,votes,margin,round_status,is_winner,source_url
2026,Thrissur,7,65,65,Wadakkanchery,XAVIER CHITTILAPPILLY,CPI(M),LDF,70725.0,5690.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,66,66,Ollur,K RAJAN,CPI,LDF,69703.0,8884.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,67,67,Thrissur,RAJAN. J. PALLAN,INC,UDF,60290.0,26803.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,68,68,Nattika,GEETHAGOPI,CPI,LDF,58979.0,7093.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,69,69,Kaipamangalam,K.K. VALSARAJ,CPI,LDF,65448.0,9944.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,70,70,Irinjalakkuda,ADV. THOMAS UNNIYADAN,KEC,UDF,66282.0,10212.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,71,71,Puthukkad,K K RAMACHANDRAN,CPI(M),LDF,63136.0,2853.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,72,72,Chalakkudy,SANEESHKUMAR JOSEPH,INC,UDF,71202.0,23156.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Thrissur,7,73,73,Kodungallur,ADV. O J JANEESH,INC,UDF,65162.0,8308.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,74,74,Perumbavoor,MANOJ MOOTHEDAN,INC,UDF,75088.0,28434.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,75,75,Angamaly,ROJI M JOHN,INC,UDF,78331.0,37008.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,76,76,Aluva,ANWAR SADATH,INC,UDF,83899.0,29143.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,77,77,Kalamassery,ADV. V E ABDUL GAFOOR,IUML,UDF,80606.0,16312.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,78,78,Paravur,ADV.V.D.SATHEESAN,INC,UDF,78658.0,20600.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,79,79,Vypen,TONY CHAMMANY,INC,UDF,66112.0,15648.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,80,80,Kochi,MOHAMMED SHIYAS,INC,UDF,64318.0,8188.0,22/22,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,81,81,Thripunithura,DEEPAK JOY,INC,UDF,70256.0,18468.0,22/22,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,82,82,Eranakulam,T.J VINOD,INC,UDF,61296.0,36163.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,83,83,Thrikkakara,UMA THOMAS,INC,UDF,83375.0,50211.0,20/20,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,84,84,Kunnathunad,V. P. SAJEENDRAN,INC,UDF,70292.0,21283.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,85,85,Piravom,ANOOP JACOB,KEC(J),UDF,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,86,86,Muvattupuzha,DR. MATHEW KUZHALNADAN,INC,UDF,89914.0,42829.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Ernakulam,8,87,87,Kothamangalam,SHIBU THECKUMPURAM,KEC,UDF,73479.0,16859.0,14/14,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Idukki,9,88,88,Devikulam,F. RAJA,INC,UDF,50590.0,5233.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Idukki,9,89,89,Udumbanchola,ADV. SENAPATHY VENU,INC,UDF,64916.0,20021.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Idukki,9,90,90,Thodupuzha,APU JOHN JOSEPH,KEC,UDF,84796.0,44291.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Idukki,9,91,91,Idukki,ROY K PAULOSE,INC,UDF,70562.0,23822.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Idukki,9,92,92,Peerumade,ADV.CYRIAC THOMAS,INC,UDF,69672.0,27634.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,93,93,Pala,MANI C KAPPEN,IND,OTHER,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,94,94,Kaduthuruthy,ADV.MONS JOSEPH,KEC,UDF,70353.0,31300.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,95,95,Vaikom,K BINIMON,INC,UDF,52944.0,1360.0,13/13,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,96,96,Ettumanoor,NATTAKOM SURESH,INC,UDF,64077.0,19752.0,13/13,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,97,97,Kottayam,THIRUVANCHOOR RADHAKRISHNAN,INC,UDF,68893.0,35986.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,98,98,Puthuppally,ADV. CHANDY OOMMEN,INC,UDF,84031.0,52907.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,99,99,Changanassery,VINU JOB KUZHIMANNIL,KEC,UDF,55991.0,8368.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,100,100,Kanjirappally,RONY K BABY,INC,UDF,56646.0,5772.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kottayam,10,101,101,Poonjar,ADV.SEBASTIAN M.J,INC,UDF,56900.0,6693.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,102,102,Aroor,ADV. SHANIMOL OSMAN,INC,UDF,74469.0,9324.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,103,103,Cherthala,P. PRASAD,CPI,LDF,83216.0,14489.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,104,104,Alappuzha,A.D THOMAS,INC,UDF,81065.0,21015.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,105,105,Ambalapuzha,G.SUDHAKARAN,IND,OTHER,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,106,106,Kuttanad,REJI CHERIYAN,KEC,UDF,56594.0,20600.0,13/13,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,107,107,Haripad,RAMESH CHENNITHALA,INC,UDF,68184.0,23377.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,108,108,Kayamkulam,ADV.M.LIJU,INC,UDF,76651.0,15572.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,109,109,Mavelikara,M.S. ARUN KUMAR,CPI(M),LDF,67180.0,15736.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Alappuzha,11,110,110,Chengannur,SAJI CHERIAN,CPI(M),LDF,57859.0,10292.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Pathanamthitta,12,111,111,Thiruvalla,ADV.VARGHESE MAMMEN,KEC,UDF,53224.0,10146.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Pathanamthitta,12,112,112,Ranni,ADV. PAZHAKULAM MADHU,INC,UDF,54652.0,4344.0,19/19,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Pathanamthitta,12,113,113,Aranmula,ABIN VARKEY KODIYATTU,INC,UDF,70083.0,18985.0,21/21,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Pathanamthitta,12,114,114,Konni,ADV K U JENISH KUMAR,CPI(M),LDF,60380.0,1838.0,17/17,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Pathanamthitta,12,115,115,Adoor,ADVOCATE C V SANTHAKUMAR,INC,UDF,66153.0,10332.0,18/18,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,116,116,Karunagappally,C.R. MAHESH,INC,UDF,82593.0,26618.0,16/16,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,117,117,Chavara,SHIBU BABY JOHN,RSP,UDF,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,118,118,Kunnathur,ULLAS KOVUR,RSP,UDF,,,,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
2026,Kollam,13,119,119,Kottarakkara,K.N. BALAGOPAL,CPI(M),LDF,63926.0,1012.0,15/15,True,https://results.eci.gov.in/ResultAcGenMay2026/statewiseS113.htm
